제조사,모델명,모델번호,통신사,요금제,월요금제,기기변경지원금,번호이동지원금,공시일,섹션
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,SK,5GX 레귤러 플러스,79000,453000,453000,2025-06-10,E01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,KT,5G 심플 110GB,69000,377000,377000,2025-06-05,E01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,LG,5G 스탠다드,75000,442000,442000,2025-06-05,E01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,SK,5GX 프리미엄,109000,500000,500000,2025-06-10,F01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,KT,초이스 스페셜,110000,500000,500000,2025-06-05,F01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,LG,5G 프리미어 플러스,105000,500000,500000,2025-06-05,F01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,SK,5GX 플래티넘,125000,500000,500000,2025-06-10,G01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,KT,초이스 프리미엄,130000,500000,500000,2025-06-05,G01
삼성전자,[5G] 갤럭시 S25 엣지 (256G),SM-S937N,LG,5G 시그니처,130000,500000,500000,2025-06-05,G01
삼성전자,[5G] 갤럭시 S25 엣지 (512G),SM-S937N_512G,SK,컴팩트,39000,265000,265000,2025-06-10,A01
삼성전자,[5G] 갤럭시 S25 엣지 (512G),SM-S937N_512G,KT,5G 슬림 4GB,37000,210000,210000,2025-06-05,A01
삼성전자,[5G] 갤럭시 S25 엣지 (512G),SM-S937N_512G,LG,5G 미니,37000,222000,222000,2025-06-05,A01
삼성전자,[5G] 갤럭시 S25 엣지 (512G),SM-S937N_512G,SK,컴팩트플러스,45000,310000,310000,2025-06-10,B01
삼성전자,[5G] 갤럭시 S25 엣지 (512G),SM-S937N_512G,KT,5G 슬림 7GB,45000,255000,255000,2025-06-05,B01
